# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
CNAG_01734	CNAG_01734	AFR97936	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01820	CNAG_01820	AFR98016	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01820	CNAG_01820	AGV14729	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_01928	CNAG_01928	AFR98124	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_01941	CNAG_01941	AFR98136	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_02020	CNAG_02020	AFR95800	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02064	CNAG_02064	AFR95755	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_02291	CNAG_02291	AFR95536	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_02335	CNAG_02335	AFR95494	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_02523	CNAG_02523	AFR95310	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02523	CNAG_02523	AGV14390	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02526	CNAG_02526	AFR95307	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02562	CNAG_02562	AFR94131	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02698	CNAG_02698	AFR93992	protein_coding	1	0	1	0	0	0	0	0	1	0	0	0	1	0
CNAG_02755	CNAG_02755	AFR93937	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02773	CNAG_02773	AFR93919	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02825	CNAG_02825	AFR93867	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_02834	CNAG_02834	AFR93859	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02933	CNAG_02933	AFR93759	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_02998	CNAG_02998	AFR93694	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_03061	CNAG_03061	AFR93634	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03063	CNAG_03063	AFR93631	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03063	CNAG_03063	AGV14139	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03109	CNAG_03109	AFR96333	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03261	CNAG_03261	AFR96482	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03311	CNAG_03311	AFR96532	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03397	CNAG_03397	AFR96619	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03534	CNAG_03534	AFR96759	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03699	CNAG_03699	AFR93204	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03846	CNAG_03846	AFR93347	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_03870	CNAG_03870	AFR93370	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_03890	CNAG_03890	AFR93390	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_03968	CNAG_03968	AFR93468	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
CNAG_03979	CNAG_03979	AFR93479	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CNAG_04014	CNAG_04014	AFR93514	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_04036	CNAG_04036	AFR93536	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_04152	CNAG_04152	AFR96882	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_04162	CNAG_04162	AFR96892	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_04291	CNAG_04291	AFR97022	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_04324	CNAG_04324	AFR97055	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_04876	CNAG_04876	AFR97340	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_04931	CNAG_04931	AFR97284	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_04981	CNAG_04981	AFR94246	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1
CNAG_05096	CNAG_05096	AFR94361	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_05096	CNAG_05096	AGV14238	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_05096	CNAG_05096	AGV14239	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_05157	CNAG_05157	AFR94422	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CNAG_05374	CNAG_05374	AFR98801	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_05423	CNAG_05423	AFR98851	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_05539	CNAG_05539	AFR98965	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_05551	CNAG_05551	AFR98978	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CNAG_05643	CNAG_05643	AFR99074	protein_coding	0	1	0	0	0	0	0	1	0	0	0	1	0	0
CNAG_05739	CNAG_05739	AFR96057	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_05759	CNAG_05759	AFR96079	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_05903	CNAG_05903	AFR96223	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06218	CNAG_06218	AFR98446	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06238	CNAG_06238	AFR98466	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0
CNAG_06311	CNAG_06311	AFR98546	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06311	CNAG_06311	AGV14810	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06365	CNAG_06365	AFR98603	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0
CNAG_06400	CNAG_06400	AFR98638	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CNAG_06465	CNAG_06465	AFR98702	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06540	CNAG_06540	AFR95825	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_06540	CNAG_06540	AGV14457	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_06548	CNAG_06548	AFR95833	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CNAG_06591	CNAG_06591	AFR95876	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06607	CNAG_06607	AFR95893	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_06611	CNAG_06611	AFR95897	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06672	CNAG_06672	AFR95957	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CNAG_06732	CNAG_06732	AFR93067	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06777	CNAG_06777	AFR93023	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_06796	CNAG_06796	AFR93004	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CNAG_06828	CNAG_06828	AFR94649	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_06867	CNAG_06867	AFR94612	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
CNAG_07347	CNAG_07347	AFR92430	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	0
CNAG_07429	CNAG_07429	AFR94873	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_07444	CNAG_07444	AFR95091	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_07499	CNAG_07499	AFR93607	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_07917	CNAG_07917	AFR98483	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNAG_07964	CNAG_07964	AGV15372	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_07964	CNAG_07964	AGV15373	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CNAG_12411	CNAG_12411	CNAG_12411-1	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CNAG_12495	CNAG_12495	CNAG_12495-1	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CNAG_12630	CNAG_12630	CNAG_12630-1	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CNAG_12647	CNAG_12647	CNAG_12647-1	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CNAG_12673	CNAG_12673	CNAG_12673-1	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CNAG_12841	CNAG_12841	CNAG_12841-1	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0
