Sample	Doubling.time	EOG	Strain	Media
CC1002.Cana.R7	123.6180994	0.752915599	CC1002	Cana
CC1002.Cana.R8	130.2413751	0.774600957	CC1002	Cana
CC1003.Cana.R1	86.89374799	1.057418294	CC1003	Cana
CC1003.Cana.R2	97.73834546	1.034353703	CC1003	Cana
CC1003.Cana.R3	95.85726862	1.004081459	CC1003	Cana
CC1003.Cana.R4	116.3714358	1.089275377	CC1003	Cana
CC1003.Cana.R5	94.48102839	0.992099785	CC1003	Cana
CC1003.Cana.R6	86.26335861	0.901376117	CC1003	Cana
CC1003.Cana.R7	88.86315548	0.903693909	CC1003	Cana
CC1003.Cana.R8	78.03280704	0.732253953	CC1003	Cana
CC1004.Cana.R1	89.10496091	1.209310001	CC1004	Cana
CC1004.Cana.R2	136.8839135	2.184901175	CC1004	Cana
CC1004.Cana.R3	114.5266509	1.324679301	CC1004	Cana
CC1004.Cana.R4	141.3809649	0.907408736	CC1004	Cana
CC1004.Cana.R5	104.0608667	1.449679046	CC1004	Cana
CC1004.Cana.R6	103.424074	1.337104326	CC1004	Cana
CC1004.Cana.R7	122.667876	0.750352427	CC1004	Cana
CC1004.Cana.R8	81.6812005	1.473410683	CC1004	Cana
CC1005.Cana.R1	97.87805384	1.360426008	CC1005	Cana
CC1005.Cana.R2	92.46987279	1.128812765	CC1005	Cana
CC1005.Cana.R3	119.556309	0.893394999	CC1005	Cana
CC1005.Cana.R4	105.6809502	1.033322979	CC1005	Cana
CC1005.Cana.R5	105.5909146	0.807980254	CC1005	Cana
CC1005.Cana.R6	110.7516753	0.706765184	CC1005	Cana
CC1005.Cana.R7	101.6806132	1.133759751	CC1005	Cana
CC1005.Cana.R8	106.6615674	1.082466993	CC1005	Cana
CC1006.Cana.R1	95.90897109	1.169323839	CC1006	Cana
CC1006.Cana.R2	87.63566066	0.946138473	CC1006	Cana
CC1006.Cana.R3	113.6483167	0.676522522	CC1006	Cana
CC1006.Cana.R4	76.95336816	0.959694421	CC1006	Cana
CC1006.Cana.R5	89.84367469	0.692923458	CC1006	Cana
CC1006.Cana.R6	85.73464674	1.096997743	CC1006	Cana
CC1006.Cana.R7	82.25342003	0.991995934	CC1006	Cana
CC1006.Cana.R8	94.99720799	2.072122656	CC1006	Cana
CN1001.NaCl.R1	232.5558444	0.22308332	CN1001	NaCl
CN1001.NaCl.R2	234.4376913	0.240746353	CN1001	NaCl
CN1001.NaCl.R3	242.2960312	0.273939038	CN1001	NaCl
CN1001.NaCl.R4	241.3458881	0.261072903	CN1001	NaCl
CN1001.NaCl.R5	251.6503801	0.264628608	CN1001	NaCl
CN1001.NaCl.R6	249.9900016	0.252899964	CN1001	NaCl
CN1001.NaCl.R7	250.9235022	0.23322843	CN1001	NaCl
CN1001.NaCl.R8	330.9456108	0.173495164	CN1001	NaCl
CN1002.NaCl.R1	348.4277814	0.204547368	CN1002	NaCl
CN1002.NaCl.R2	423.9535189	0.148836262	CN1002	NaCl
CN1002.NaCl.R3	450.924963	0.132757596	CN1002	NaCl
CN1002.NaCl.R4	424.0213132	0.137083084	CN1002	NaCl
CN1002.NaCl.R5	476.8424426	0.126013173	CN1002	NaCl
CN1002.NaCl.R6	461.6828541	0.088435536	CN1002	NaCl
CN1002.NaCl.R7	827.9748369	0.029422961	CN1002	NaCl
CN1002.NaCl.R8	787.0950603	0.029492886	CN1002	NaCl
CN1003.NaCl.R1	209.8853559	0.18385634	CN1003	NaCl
CN1003.NaCl.R2	313.7866992	0.113824237	CN1003	NaCl
CN1003.NaCl.R3	418.879257	0.070925236	CN1003	NaCl
CN1003.NaCl.R4	414.1123445	0.069627035	CN1003	NaCl
CN1003.NaCl.R5	494.7577384	0.066330829	CN1003	NaCl
CN1003.NaCl.R6	470.5365207	0.062764144	CN1003	NaCl
CN1003.NaCl.R7	474.791967	0.054677656	CN1003	NaCl
CN1003.NaCl.R8	529.0839597	0.032584939	CN1003	NaCl
CN1004.NaCl.R1	252.1053086	0.174960216	CN1004	NaCl
CN1004.NaCl.R2	349.0388181	0.089415426	CN1004	NaCl
CN1004.NaCl.R3	447.3603514	0.103436138	CN1004	NaCl
CN1004.NaCl.R4	386.8706963	0.067285858	CN1004	NaCl
CN1004.NaCl.R5	553.0625923	0.079260757	CN1004	NaCl
CN1004.NaCl.R6	405.6318953	0.056931072	CN1004	NaCl
CN1004.NaCl.R7	418.8132384	0.037253305	CN1004	NaCl
CN1004.NaCl.R8	464.3639305	0.031656935	CN1004	NaCl
CN1005.NaCl.R1	368.8799072	0.193285349	CN1005	NaCl
CN1005.NaCl.R2	589.2430395	0.10187998	CN1005	NaCl
CN1005.NaCl.R3	705.8277167	0.086329211	CN1005	NaCl
CN1005.NaCl.R4	707.7980753	0.085183376	CN1005	NaCl
CN1005.NaCl.R5	540.6046195	0.10764172	CN1005	NaCl
CN1005.NaCl.R6	601.6832389	0.08680055	CN1005	NaCl
CN1005.NaCl.R7	635.2998924	0.063835741	CN1005	NaCl
CN1005.NaCl.R8	809.3039468	0.048105148	CN1005	NaCl
CN1006.NaCl.R1	317.4026496	0.152412799	CN1006	NaCl
CN1006.NaCl.R2	649.9325914	0.065376479	CN1006	NaCl
CN1006.NaCl.R3	1660.229301	-0.00086822	CN1006	NaCl
CN1006.NaCl.R4	525.9609599	0.064969247	CN1006	NaCl
CN1006.NaCl.R5	611.0774068	0.065586017	CN1006	NaCl
CN1006.NaCl.R6	566.689538	0.062220698	CN1006	NaCl
CN1006.NaCl.R7	701.472003	0.041886735	CN1006	NaCl
CN1006.NaCl.R8	592.9401748	0.03662121	CN1006	NaCl
CY1001.YPD.R1	163.0773655	1.267934113	CY1001	YPD
CY1001.YPD.R2	151.6339404	0.958127186	CY1001	YPD
CY1001.YPD.R3	150.188331	1.15280301	CY1001	YPD
CY1001.YPD.R4	138.0867932	1.302616711	CY1001	YPD
CY1001.YPD.R5	144.0892329	1.194297356	CY1001	YPD
CY1001.YPD.R6	101.4223138	0.955644783	CY1001	YPD
CY1001.YPD.R7	128.534317	1.172649298	CY1001	YPD
CY1001.YPD.R8	144.2646928	1.083622428	CY1001	YPD
CY1002.YPD.R1	228.7474861	1.51437244	CY1002	YPD
CY1002.YPD.R2	163.5830412	0.787703755	CY1002	YPD
CY1002.YPD.R3	166.5316914	0.930114378	CY1002	YPD
CY1002.YPD.R4	167.6614182	1.768287678	CY1002	YPD
CY1002.YPD.R5	174.2447524	1.507599413	CY1002	YPD
CY1002.YPD.R6	161.511177	1.060052312	CY1002	YPD
CY1002.YPD.R7	160.290032	1.243387003	CY1002	YPD
CY1002.YPD.R8	173.9765126	1.234828182	CY1002	YPD
CY1003.YPD.R1	215.8474891	0.961557378	CY1003	YPD
CY1003.YPD.R2	238.9062136	0.646119176	CY1003	YPD
CY1003.YPD.R3	231.6575468	0.446860952	CY1003	YPD
CY1003.YPD.R4	221.110571	0.991661202	CY1003	YPD
CY1003.YPD.R5	216.4086368	1.051347473	CY1003	YPD
CY1003.YPD.R6	205.387969	1.444191283	CY1003	YPD
CY1003.YPD.R7	225.0133328	0.710787711	CY1003	YPD
CY1003.YPD.R8	215.7470642	0.790773734	CY1003	YPD
CY1004.YPD.R1	140.9909196	1.519904091	CY1004	YPD
CY1004.YPD.R2	146.5369011	1.412058565	CY1004	YPD
CY1004.YPD.R3	181.4667083	1.059833706	CY1004	YPD
CY1004.YPD.R4	211.1191928	1.055998771	CY1004	YPD
CY1004.YPD.R5	214.6514836	0.904102539	CY1004	YPD
CY1004.YPD.R6	157.0677093	1.417019866	CY1004	YPD
CY1004.YPD.R7	184.1722076	0.378910861	CY1004	YPD
CY1004.YPD.R8	188.2819722	0.700994695	CY1004	YPD
CY1005.YPD.R1	235.0139539	0.488599646	CY1005	YPD
CY1005.YPD.R2	257.4205726	0.334529285	CY1005	YPD
CY1005.YPD.R3	198.3091678	1.462928084	CY1005	YPD
CY1005.YPD.R4	200.2118912	1.440874751	CY1005	YPD
CY1005.YPD.R5	115.3096003	1.840867523	CY1005	YPD
CY1005.YPD.R6	194.2003984	1.391458417	CY1005	YPD
CY1005.YPD.R7	196.5619766	1.53989309	CY1005	YPD
CY1005.YPD.R8	185.7578637	1.111143461	CY1005	YPD
CY1006.YPD.R1	165.1675638	1.821688278	CY1006	YPD
CY1006.YPD.R2	228.797586	0.952602776	CY1006	YPD
CY1006.YPD.R3	220.5581858	0.891833323	CY1006	YPD
CY1006.YPD.R4	201.3154402	0.991467171	CY1006	YPD
CY1006.YPD.R5	182.6123627	2.135242843	CY1006	YPD
CY1006.YPD.R6	170.7206212	1.79939366	CY1006	YPD
CY1006.YPD.R7	196.0868187	1.923203113	CY1006	YPD
CY1006.YPD.R8	218.7000867	1.607644473	CY1006	YPD
SD719.NaCl.R1	279.8812836	0.044123149	SSD719	YPD
SD719.NaCl.R2	378.8779176	0.036943312	SSD719	YPD
SD719.NaCl.R3	448.9020896	0.035951276	SSD719	YPD
SD719.NaCl.R4	218.6067679	0.050785501	SSD719	YPD
SD719.NaCl.R5	440.8021576	0.035784256	SSD719	YPD
SD719.NaCl.R6	420.2873175	0.039812394	SSD719	YPD
SD719.NaCl.R7	442.2237073	0.038159457	SSD719	YPD
SD719.NaCl.R8	448.3389994	0.038035871	SSD719	YPD
SD719.YPD.R1	158.275265	0.431577867	SSD719	YPD
SD719.YPD.R2	163.8244207	0.467239582	SSD719	YPD
SD719.YPD.R3	170.0011688	0.479796832	SSD719	YPD
SD719.YPD.R4	165.5477388	0.479349489	SSD719	YPD
SD719.YPD.R5	147.7150814	0.758866219	SSD719	YPD
SD719.YPD.R6	144.9176378	0.656891767	SSD719	YPD
SD719.YPD.R7	141.3590118	0.538161153	SSD719	YPD
SD719.YPD.R8	140.0888256	0.519844052	SSD719	YPD
SSD719.Beer.R1	610.3066836	0.05074267	SSD719	Beer
SSD719.Beer.R2	577.0550273	0.037809328	SSD719	Beer
SSD719.Beer.R3	881.462306	0.035678281	SSD719	Beer
SSD719.Beer.R4	783.949995	0.036312375	SSD719	Beer
SSD719.Beer.R5	562.5250886	0.036770514	SSD719	Beer
SSD719.Beer.R6	834.5213938	0.03486285	SSD719	Beer
SSD719.Beer.R7	631.1659824	0.038397973	SSD719	Beer
SSD719.Beer.R8	710.9399759	0.041541374	SSD719	Beer
SSD719.Cana.R1	55.82569213	0.365962521	SSD719	Cana
SSD719.Cana.R2	80.74300216	0.21995967	SSD719	Cana
SSD719.Cana.R3	71.48373093	0.126700035	SSD719	Cana
SSD719.Cana.R4	59.83760753	0.127280099	SSD719	Cana
SSD719.Cana.R5	62.38307007	0.130851207	SSD719	Cana
SSD719.Cana.R6	83.20138617	0.147097629	SSD719	Cana
SSD719.Cana.R7	108.1285152	0.23658291	SSD719	Cana
SSD719.Cana.R8	77.28944328	0.218574089	SSD719	Cana
SD719.NaCl.R1	279.8812836	0.044123149	SSD719	NaCl
SD719.NaCl.R2	378.8779176	0.036943312	SSD719	NaCl
SD719.NaCl.R3	448.9020896	0.035951276	SSD719	NaCl
SD719.NaCl.R4	218.6067679	0.050785501	SSD719	NaCl
SD719.NaCl.R5	440.8021576	0.035784256	SSD719	NaCl
SD719.NaCl.R6	420.2873175	0.039812394	SSD719	NaCl
SD719.NaCl.R7	442.2237073	0.038159457	SSD719	NaCl
SD719.NaCl.R8	448.3389994	0.038035871	SSD719	NaCl
