Chromosome	Strain	Coverage
cneoH99_Chr01	CB-100-5	77.7681865853339
cneoH99_Chr02	CB-100-5	62.8359871377019
cneoH99_Chr03	CB-100-5	86.3010792073062
cneoH99_Chr04	CB-100-5	75.1877410302778
cneoH99_Chr05	CB-100-5	75.6619026243377
cneoH99_Chr06	CB-100-5	77.2889149289529
cneoH99_Chr07	CB-100-5	77.7816438368383
cneoH99_Chr08	CB-100-5	75.551096264178
cneoH99_Chr09	CB-100-5	70.5385776287764
cneoH99_Chr10	CB-100-5	72.3142800854717
cneoH99_Chr11	CB-100-5	83.8763486930769
cneoH99_Chr12	CB-100-5	74.0471236757143
cneoH99_Chr13	CB-100-5	74.7412260599736
cneoH99_Chr14	CB-100-5	73.1891369018458
cneoH99_Chr01	CB-100-6	55.5236763464192
cneoH99_Chr02	CB-100-6	47.439034248323
cneoH99_Chr03	CB-100-6	59.7540305587039
cneoH99_Chr04	CB-100-6	43.4710042029602
cneoH99_Chr05	CB-100-6	54.3111650851934
cneoH99_Chr06	CB-100-6	55.7441312295359
cneoH99_Chr07	CB-100-6	55.9715762714796
cneoH99_Chr08	CB-100-6	54.279212587509
cneoH99_Chr09	CB-100-6	55.4740603881013
cneoH99_Chr10	CB-100-6	52.8069511182076
cneoH99_Chr11	CB-100-6	59.5259961899359
cneoH99_Chr12	CB-100-6	52.9133935763636
cneoH99_Chr13	CB-100-6	71.9910956070013
cneoH99_Chr14	CB-100-6	53.4484774003257
cneoH99_Chr01	CC-100-1	109.410772018908
cneoH99_Chr02	CC-100-1	91.7538123432298
cneoH99_Chr03	CC-100-1	121.880872674587
cneoH99_Chr04	CC-100-1	105.940086386296
cneoH99_Chr05	CC-100-1	106.378892364917
cneoH99_Chr06	CC-100-1	109.850708880394
cneoH99_Chr07	CC-100-1	109.822871194564
cneoH99_Chr08	CC-100-1	106.847903000431
cneoH99_Chr09	CC-100-1	108.828941916624
cneoH99_Chr10	CC-100-1	104.740998650189
cneoH99_Chr11	CC-100-1	118.581345234103
cneoH99_Chr12	CC-100-1	104.127629506112
cneoH99_Chr13	CC-100-1	115.079301729723
cneoH99_Chr14	CC-100-1	105.337881926927
cneoH99_Chr01	CC-100-2	63.3161082730131
cneoH99_Chr02	CC-100-2	53.4754793229193
cneoH99_Chr03	CC-100-2	62.2098610466963
cneoH99_Chr04	CC-100-2	48.6656219136111
cneoH99_Chr05	CC-100-2	61.2129469145304
cneoH99_Chr06	CC-100-2	63.6282245638089
cneoH99_Chr07	CC-100-2	63.4853082706934
cneoH99_Chr08	CC-100-2	61.7839134225575
cneoH99_Chr09	CC-100-2	62.8080481570464
cneoH99_Chr10	CC-100-2	60.1456941532076
cneoH99_Chr11	CC-100-2	62.3679357975641
cneoH99_Chr12	CC-100-2	59.7357602104031
cneoH99_Chr13	CC-100-2	82.7629630918098
cneoH99_Chr14	CC-100-2	60.2970218947883
cneoH99_Chr01	CC-100-3	60.4408188397206
cneoH99_Chr02	CC-100-3	59.4407004487578
cneoH99_Chr03	CC-100-3	70.5796863347522
cneoH99_Chr04	CC-100-3	71.6425390729705
cneoH99_Chr05	CC-100-3	69.4809685722652
cneoH99_Chr06	CC-100-3	71.3833407017581
cneoH99_Chr07	CC-100-3	71.89232825797
cneoH99_Chr08	CC-100-3	69.582607074552
cneoH99_Chr09	CC-100-3	82.8494275791561
cneoH99_Chr10	CC-100-3	68.3399666139623
cneoH99_Chr11	CC-100-3	70.2734920103913
cneoH99_Chr12	CC-100-3	67.4982287364109
cneoH99_Chr13	CC-100-3	67.9323229409511
cneoH99_Chr14	CC-100-3	68.1440167913138
cneoH99_Chr01	CC-100-4	63.9571975207333
cneoH99_Chr02	CC-100-4	54.7112043873835
cneoH99_Chr03	CC-100-4	62.5852159910476
cneoH99_Chr04	CC-100-4	49.2256448340741
cneoH99_Chr05	CC-100-4	62.3372618345284
cneoH99_Chr06	CC-100-4	63.6143717180604
cneoH99_Chr07	CC-100-4	63.2607858490336
cneoH99_Chr08	CC-100-4	61.9872028063218
cneoH99_Chr09	CC-100-4	72.5420056300422
cneoH99_Chr10	CC-100-4	60.8902994034906
cneoH99_Chr11	CC-100-4	62.9327022502883
cneoH99_Chr12	CC-100-4	60.0170955571429
cneoH99_Chr13	CC-100-4	48.7755705327609
cneoH99_Chr14	CC-100-4	60.4635040397394
cneoH99_Chr01	CC-100-5	88.6350099389083
cneoH99_Chr02	CC-100-5	74.8865649350932
cneoH99_Chr03	CC-100-5	88.0531962760483
cneoH99_Chr04	CC-100-5	69.1832920153704
cneoH99_Chr05	CC-100-5	87.104070688674
cneoH99_Chr06	CC-100-5	89.7116346927618
cneoH99_Chr07	CC-100-5	89.2552774004289
cneoH99_Chr08	CC-100-5	87.4565967886657
cneoH99_Chr09	CC-100-5	103.683994517975
cneoH99_Chr10	CC-100-5	86.3626897578302
cneoH99_Chr11	CC-100-5	88.4906612039102
cneoH99_Chr12	CC-100-5	82.1860206223667
cneoH99_Chr13	CC-100-5	87.1244049931308
cneoH99_Chr14	CC-100-5	86.2217598816504
cneoH99_Chr01	CC-100-6	29.2587342318341
cneoH99_Chr02	CC-100-6	24.5391639504348
cneoH99_Chr03	CC-100-6	28.6871577261118
cneoH99_Chr04	CC-100-6	22.3295547208141
cneoH99_Chr05	CC-100-6	28.3280892547514
cneoH99_Chr06	CC-100-6	29.0977987947294
cneoH99_Chr07	CC-100-6	29.3397907893495
cneoH99_Chr08	CC-100-6	28.4686986127782
cneoH99_Chr09	CC-100-6	33.2637308601688
cneoH99_Chr10	CC-100-6	27.6923737775472
cneoH99_Chr11	CC-100-6	28.6539370086538
cneoH99_Chr12	CC-100-6	27.685480817013
cneoH99_Chr13	CC-100-6	27.8555647520476
cneoH99_Chr14	CC-100-6	27.6282477731813
cneoH99_Chr01	CN-100-1	59.376957328852
cneoH99_Chr02	CN-100-1	49.3315993175155
cneoH99_Chr03	CN-100-1	58.9711541526048
cneoH99_Chr04	CN-100-1	60.7156083517114
cneoH99_Chr05	CN-100-1	57.7033011967956
cneoH99_Chr06	CN-100-1	59.693825485383
cneoH99_Chr07	CN-100-1	59.9091751283774
cneoH99_Chr08	CN-100-1	58.3021759463747
cneoH99_Chr09	CN-100-1	58.8601064200844
cneoH99_Chr10	CN-100-1	57.7610543808491
cneoH99_Chr11	CN-100-1	58.3964824721616
cneoH99_Chr12	CN-100-1	57.2875010426528
cneoH99_Chr13	CN-100-1	59.0399097651255
cneoH99_Chr14	CN-100-1	57.1524913754881
cneoH99_Chr01	CN-100-2	51.9890555479476
cneoH99_Chr02	CN-100-2	44.8142118593168
cneoH99_Chr03	CN-100-2	51.2658725034943
cneoH99_Chr04	CN-100-2	52.5689736863889
cneoH99_Chr05	CN-100-2	50.2298212985635
cneoH99_Chr06	CN-100-2	52.6380279421644
cneoH99_Chr07	CN-100-2	52.334341761588
cneoH99_Chr08	CN-100-2	50.9264185181622
cneoH99_Chr09	CN-100-2	59.8786085914768
cneoH99_Chr10	CN-100-2	79.4370896983019
cneoH99_Chr11	CN-100-2	51.4320185193714
cneoH99_Chr12	CN-100-2	40.5610004591678
cneoH99_Chr13	CN-100-2	50.0419227009247
cneoH99_Chr14	CN-100-2	49.5850658641694
cneoH99_Chr01	CN-100-3	78.394917009079
cneoH99_Chr02	CN-100-3	64.3649367570807
cneoH99_Chr03	CN-100-3	76.8391207024142
cneoH99_Chr04	CN-100-3	77.6982289518039
cneoH99_Chr05	CN-100-3	76.1808884065121
cneoH99_Chr06	CN-100-3	78.0008136671117
cneoH99_Chr07	CN-100-3	78.8119787535382
cneoH99_Chr08	CN-100-3	75.8363124234027
cneoH99_Chr09	CN-100-3	77.3720843472574
cneoH99_Chr10	CN-100-3	74.7125055534906
cneoH99_Chr11	CN-100-3	76.4726879452854
cneoH99_Chr12	CN-100-3	73.6489501984395
cneoH99_Chr13	CN-100-3	75.061506763144
cneoH99_Chr14	CN-100-3	73.3349176610629
cneoH99_Chr01	CN-100-4	73.3729526931501
cneoH99_Chr02	CN-100-4	61.0658191501863
cneoH99_Chr03	CN-100-4	72.4660214388183
cneoH99_Chr04	CN-100-4	75.1343734078631
cneoH99_Chr05	CN-100-4	71.642570551766
cneoH99_Chr06	CN-100-4	73.7327659847505
cneoH99_Chr07	CN-100-4	74.1699377253753
cneoH99_Chr08	CN-100-4	72.148621996198
cneoH99_Chr09	CN-100-4	73.0099881925738
cneoH99_Chr10	CN-100-4	71.1715498072642
cneoH99_Chr11	CN-100-4	72.3331803836643
cneoH99_Chr12	CN-100-4	71.5213697272727
cneoH99_Chr13	CN-100-4	71.6150525479524
cneoH99_Chr14	CN-100-4	70.5275740304772
cneoH99_Chr01	CN-100-5	60.2206508903972
cneoH99_Chr02	CN-100-5	50.3817973963354
cneoH99_Chr03	CN-100-5	59.6391773722999
cneoH99_Chr04	CN-100-5	80.7196146427382
cneoH99_Chr05	CN-100-5	58.9263182727072
cneoH99_Chr06	CN-100-5	60.4618890042867
cneoH99_Chr07	CN-100-5	60.833415117584
cneoH99_Chr08	CN-100-5	59.377506936827
cneoH99_Chr09	CN-100-5	59.9618530180591
cneoH99_Chr10	CN-100-5	58.631515674434
cneoH99_Chr11	CN-100-5	59.1348265642308
cneoH99_Chr12	CN-100-5	58.4054430849155
cneoH99_Chr13	CN-100-5	59.3568452735799
cneoH99_Chr14	CN-100-5	58.2065992213666
cneoH99_Chr01	CN-100-6	71.2492982523581
cneoH99_Chr02	CN-100-6	60.5928863852704
cneoH99_Chr03	CN-100-6	83.8450364524142
cneoH99_Chr04	CN-100-6	73.7091555836111
cneoH99_Chr05	CN-100-6	70.3277306600773
cneoH99_Chr06	CN-100-6	71.6102800508784
cneoH99_Chr07	CN-100-6	71.1871064668338
cneoH99_Chr08	CN-100-6	70.7711134719109
cneoH99_Chr09	CN-100-6	69.47128530827
cneoH99_Chr10	CN-100-6	69.4478813773585
cneoH99_Chr11	CN-100-6	77.0918061955128
cneoH99_Chr12	CN-100-6	67.3748501624675
cneoH99_Chr13	CN-100-6	70.0458935549538
cneoH99_Chr14	CN-100-6	67.363397607909
cneoH99_Chr01	CW-100-1	74.2551904444784
cneoH99_Chr02	CW-100-1	61.9239932363354
cneoH99_Chr03	CW-100-1	73.1645123268107
cneoH99_Chr04	CW-100-1	75.0242525086111
cneoH99_Chr05	CW-100-1	71.9465000501658
cneoH99_Chr06	CW-100-1	73.9871596851722
cneoH99_Chr07	CW-100-1	74.5950181508935
cneoH99_Chr08	CW-100-1	72.2341477852224
cneoH99_Chr09	CW-100-1	84.7581953993249
cneoH99_Chr10	CW-100-1	108.540491759357
cneoH99_Chr11	CW-100-1	72.8541724196795
cneoH99_Chr12	CW-100-1	70.4549974611688
cneoH99_Chr13	CW-100-1	70.7015958338177
cneoH99_Chr14	CW-100-1	70.7028338120521
cneoH99_Chr01	CW-100-2	41.0341737384716
cneoH99_Chr02	CW-100-2	34.3530445799379
cneoH99_Chr03	CW-100-2	40.9548205869123
cneoH99_Chr04	CW-100-2	42.5462539567993
cneoH99_Chr05	CW-100-2	39.7907291568508
cneoH99_Chr06	CW-100-2	41.4457726054852
cneoH99_Chr07	CW-100-2	41.9199878600143
cneoH99_Chr08	CW-100-2	40.3472197033022
cneoH99_Chr09	CW-100-2	41.329759194346
cneoH99_Chr10	CW-100-2	40.1079015217924
cneoH99_Chr11	CW-100-2	40.8097107711995
cneoH99_Chr12	CW-100-2	40.2130156080624
cneoH99_Chr13	CW-100-2	40.4660447945839
cneoH99_Chr14	CW-100-2	39.7557900389371
cneoH99_Chr01	CW-100-3	46.8628861645852
cneoH99_Chr02	CW-100-3	39.8887260174534
cneoH99_Chr03	CW-100-3	46.4951999073698
cneoH99_Chr04	CW-100-3	36.5812435068519
cneoH99_Chr05	CW-100-3	45.5716040816575
cneoH99_Chr06	CW-100-3	47.263448688967
cneoH99_Chr07	CW-100-3	47.4221393037911
cneoH99_Chr08	CW-100-3	45.9683089487437
cneoH99_Chr09	CW-100-3	53.9090389891139
cneoH99_Chr10	CW-100-3	45.2502513488679
cneoH99_Chr11	CW-100-3	46.5384506729314
cneoH99_Chr12	CW-100-3	44.5678649213264
cneoH99_Chr13	CW-100-3	44.9395274424042
cneoH99_Chr14	CW-100-3	44.936533971987
cneoH99_Chr01	CW-100-4	59.5623431968982
cneoH99_Chr02	CW-100-4	50.0080881500621
cneoH99_Chr03	CW-100-4	57.853420943075
cneoH99_Chr04	CW-100-4	58.6268675213889
cneoH99_Chr05	CW-100-4	58.2886366317127
cneoH99_Chr06	CW-100-4	59.7435685014065
cneoH99_Chr07	CW-100-4	60.1210040918397
cneoH99_Chr08	CW-100-4	58.3850495519397
cneoH99_Chr09	CW-100-4	64.6315210953587
cneoH99_Chr10	CW-100-4	57.5191284634906
cneoH99_Chr11	CW-100-4	69.9867274248877
cneoH99_Chr12	CW-100-4	49.0411269236671
cneoH99_Chr13	CW-100-4	57.181476192074
cneoH99_Chr14	CW-100-4	57.3736209805646
cneoH99_Chr01	CW-100-5	39.7990090061109
cneoH99_Chr02	CW-100-5	33.7471921791304
cneoH99_Chr03	CW-100-5	39.4228756296696
cneoH99_Chr04	CW-100-5	52.902266179926
cneoH99_Chr05	CW-100-5	38.5467185885083
cneoH99_Chr06	CW-100-5	39.85454680513
cneoH99_Chr07	CW-100-5	40.1408076972838
cneoH99_Chr08	CW-100-5	38.7998509045226
cneoH99_Chr09	CW-100-5	39.3636418805907
cneoH99_Chr10	CW-100-5	37.9601465196226
cneoH99_Chr11	CW-100-5	39.1588781732051
cneoH99_Chr12	CW-100-5	37.6456871179221
cneoH99_Chr13	CW-100-5	37.9340709890357
cneoH99_Chr14	CW-100-5	37.983229093167
cneoH99_Chr01	CW-100-6	59.0996336118392
cneoH99_Chr02	CW-100-6	66.1258731853325
cneoH99_Chr03	CW-100-6	56.141772730432
cneoH99_Chr04	CW-100-6	57.7753322429499
cneoH99_Chr05	CW-100-6	56.9788869564018
cneoH99_Chr06	CW-100-6	56.9738756310611
cneoH99_Chr07	CW-100-6	53.7613731770774
cneoH99_Chr08	CW-100-6	55.7461122545651
cneoH99_Chr09	CW-100-6	60.3638199458685
cneoH99_Chr10	CW-100-6	84.8329483960152
cneoH99_Chr11	CW-100-6	56.6556559787412
cneoH99_Chr12	CW-100-6	52.0117875353247
cneoH99_Chr13	CW-100-6	58.5669607107001
cneoH99_Chr14	CW-100-6	52.2776502110509
cneoH99_Chr01	CY-100-1	61.2296420151462
cneoH99_Chr02	CY-100-1	60.9274763389062
cneoH99_Chr03	CY-100-1	58.521032387746
cneoH99_Chr04	CY-100-1	62.1838627464815
cneoH99_Chr05	CY-100-1	59.4289263975166
cneoH99_Chr06	CY-100-1	64.2236756899508
cneoH99_Chr07	CY-100-1	60.5327403027162
cneoH99_Chr08	CY-100-1	59.8552600588235
cneoH99_Chr09	CY-100-1	58.6485330421453
cneoH99_Chr10	CY-100-1	59.0792180509915
cneoH99_Chr11	CY-100-1	60.4162775815503
cneoH99_Chr12	CY-100-1	48.9335003045455
cneoH99_Chr13	CY-100-1	58.4500679063492
cneoH99_Chr14	CY-100-1	56.1534538760304
cneoH99_Chr01	CY-100-2	75.3758382844173
cneoH99_Chr02	CY-100-2	64.6034229718634
cneoH99_Chr03	CY-100-2	74.3443619250477
cneoH99_Chr04	CY-100-2	75.6342176388889
cneoH99_Chr05	CY-100-2	73.3027922952486
cneoH99_Chr06	CY-100-2	75.8806481357947
cneoH99_Chr07	CY-100-2	76.190748131737
cneoH99_Chr08	CY-100-2	73.8102726573171
cneoH99_Chr09	CY-100-2	75.3767903607595
cneoH99_Chr10	CY-100-2	100.085010543302
cneoH99_Chr11	CY-100-2	73.4939896329699
cneoH99_Chr12	CY-100-2	55.7576182276623
cneoH99_Chr13	CY-100-2	69.2411744424042
cneoH99_Chr14	CY-100-2	72.3840085656895
cneoH99_Chr01	CY-100-3	105.44233859965
cneoH99_Chr02	CY-100-3	135.205538485457
cneoH99_Chr03	CY-100-3	102.53260735413
cneoH99_Chr04	CY-100-3	108.654585328082
cneoH99_Chr05	CY-100-3	103.800365718322
cneoH99_Chr06	CY-100-3	110.815091952706
cneoH99_Chr07	CY-100-3	105.232515254083
cneoH99_Chr08	CY-100-3	104.064049006178
cneoH99_Chr09	CY-100-3	100.229984461149
cneoH99_Chr10	CY-100-3	132.739641400566
cneoH99_Chr11	CY-100-3	103.542924248623
cneoH99_Chr12	CY-100-3	94.2895247158648
cneoH99_Chr13	CY-100-3	102.983911025265
cneoH99_Chr14	CY-100-3	97.7820595872156
cneoH99_Chr01	CY-100-4	53.8767310822348
cneoH99_Chr02	CY-100-4	47.2423712181366
cneoH99_Chr03	CY-100-4	50.9789737037484
cneoH99_Chr04	CY-100-4	53.5896421788889
cneoH99_Chr05	CY-100-4	52.5518452328177
cneoH99_Chr06	CY-100-4	53.3793854471539
cneoH99_Chr07	CY-100-4	53.4741340048606
cneoH99_Chr08	CY-100-4	52.1291703157819
cneoH99_Chr09	CY-100-4	61.1244543531646
cneoH99_Chr10	CY-100-4	51.4813688235849
cneoH99_Chr11	CY-100-4	52.2882735778347
cneoH99_Chr12	CY-100-4	51.3073856997403
cneoH99_Chr13	CY-100-4	50.6302025163805
cneoH99_Chr14	CY-100-4	50.7611276010858
cneoH99_Chr01	CY-100-5	95.5980181424084
cneoH99_Chr02	CY-100-5	80.4877651058421
cneoH99_Chr03	CY-100-5	92.323674044254
cneoH99_Chr04	CY-100-5	97.132803035463
cneoH99_Chr05	CY-100-5	93.3713929333333
cneoH99_Chr06	CY-100-5	94.5589646582572
cneoH99_Chr07	CY-100-5	95.1524561132332
cneoH99_Chr08	CY-100-5	94.144138104089
cneoH99_Chr09	CY-100-5	106.39616912962
cneoH99_Chr10	CY-100-5	74.1507062716981
cneoH99_Chr11	CY-100-5	92.9058276879564
cneoH99_Chr12	CY-100-5	89.8879900232468
cneoH99_Chr13	CY-100-5	91.1764575015852
cneoH99_Chr14	CY-100-5	89.8106294287419
cneoH99_Chr01	CY-100-6	87.5368328459188
cneoH99_Chr02	CY-100-6	112.051770414969
cneoH99_Chr03	CY-100-6	85.2142214331639
cneoH99_Chr04	CY-100-6	86.9913555135185
cneoH99_Chr05	CY-100-6	84.4994499711602
cneoH99_Chr06	CY-100-6	85.4629016443429
cneoH99_Chr07	CY-100-6	86.5914870779128
cneoH99_Chr08	CY-100-6	84.4643962021521
cneoH99_Chr09	CY-100-6	84.529338096962
cneoH99_Chr10	CY-100-6	114.195153983491
cneoH99_Chr11	CY-100-6	86.5512777582425
cneoH99_Chr12	CY-100-6	81.5372908202597
cneoH99_Chr13	CY-100-6	81.6587857006605
cneoH99_Chr14	CY-100-6	82.3565288982665
cneoH99_Chr01	EM3	48.3490629944031
cneoH99_Chr02	EM3	48.491636692279
cneoH99_Chr03	EM3	46.9687274646124
cneoH99_Chr04	EM3	49.4909435066605
cneoH99_Chr05	EM3	48.7647369022652
cneoH99_Chr06	EM3	48.5693924015471
cneoH99_Chr07	EM3	46.9374974615771
cneoH99_Chr08	EM3	46.2956791731322
cneoH99_Chr09	EM3	46.9173966474705
cneoH99_Chr10	EM3	44.3834326279245
cneoH99_Chr11	EM3	45.8654362384221
cneoH99_Chr12	EM3	42.4875532925974
cneoH99_Chr13	EM3	44.0560748100662
cneoH99_Chr14	EM3	44.0415588061889
cneoH99_Chr01	P1W10	130.917101000742
cneoH99_Chr02	P1W10	108.47586546882
cneoH99_Chr03	P1W10	128.560641344981
cneoH99_Chr04	P1W10	230.662430915292
cneoH99_Chr05	P1W10	126.415480755746
cneoH99_Chr06	P1W10	131.47848116915
cneoH99_Chr07	P1W10	131.774442901287
cneoH99_Chr08	P1W10	127.562965901792
cneoH99_Chr09	P1W10	198.768561335527
cneoH99_Chr10	P1W10	124.945267356887
cneoH99_Chr11	P1W10	129.763520992569
cneoH99_Chr12	P1W10	124.426581710909
cneoH99_Chr13	P1W10	124.469889047424
cneoH99_Chr14	P1W10	125.0973757859
cneoH99_Chr01	P2W10	58.0553385565445
cneoH99_Chr02	P2W10	49.0556189563004
cneoH99_Chr03	P2W10	56.9113086888254
cneoH99_Chr04	P2W10	71.7349037122109
cneoH99_Chr05	P2W10	56.7841701391065
cneoH99_Chr06	P2W10	57.6928949023893
cneoH99_Chr07	P2W10	58.3642828489986
cneoH99_Chr08	P2W10	56.9410265835842
cneoH99_Chr09	P2W10	86.5353343780776
cneoH99_Chr10	P2W10	55.328360534717
cneoH99_Chr11	P2W10	56.893058046991
cneoH99_Chr12	P2W10	54.5269878950713
cneoH99_Chr13	P2W10	55.3216193844122
cneoH99_Chr14	P2W10	54.8454051577465
cneoH99_Chr01	P3W10	132.84082437055
cneoH99_Chr02	P3W10	161.802512193913
cneoH99_Chr03	P3W10	131.66847559454
cneoH99_Chr04	P3W10	223.947045964537
cneoH99_Chr05	P3W10	129.003752924627
cneoH99_Chr06	P3W10	130.91166737948
cneoH99_Chr07	P3W10	130.498060911651
cneoH99_Chr08	P3W10	128.539906691117
cneoH99_Chr09	P3W10	196.478208092152
cneoH99_Chr10	P3W10	124.204078859245
cneoH99_Chr11	P3W10	132.621113551569
cneoH99_Chr12	P3W10	121.872156315325
cneoH99_Chr13	P3W10	123.046933983487
cneoH99_Chr14	P3W10	125.094835248373
cneoH99_Chr01	P4W10	118.767550602312
cneoH99_Chr02	P4W10	100.274843252795
cneoH99_Chr03	P4W10	116.370176875111
cneoH99_Chr04	P4W10	149.515225867222
cneoH99_Chr05	P4W10	116.923662246082
cneoH99_Chr06	P4W10	152.321057495221
cneoH99_Chr07	P4W10	119.285781493567
cneoH99_Chr08	P4W10	118.087296772545
cneoH99_Chr09	P4W10	176.263708260422
cneoH99_Chr10	P4W10	113.451424015283
cneoH99_Chr11	P4W10	116.653874300705
cneoH99_Chr12	P4W10	112.758107613636
cneoH99_Chr13	P4W10	112.905362530119
cneoH99_Chr14	P4W10	113.657408522777
cneoH99_Chr01	P5W10	68.0800697743892
cneoH99_Chr02	P5W10	57.8351756513665
cneoH99_Chr03	P5W10	66.4429531791111
cneoH99_Chr04	P5W10	108.542790432285
cneoH99_Chr05	P5W10	66.1581156544451
cneoH99_Chr06	P5W10	66.9575729978215
cneoH99_Chr07	P5W10	66.737093770336
cneoH99_Chr08	P5W10	65.7168859174069
cneoH99_Chr09	P5W10	101.709683459072
cneoH99_Chr10	P5W10	64.027688780566
cneoH99_Chr11	P5W10	65.6561745042949
cneoH99_Chr12	P5W10	61.4758650941634
cneoH99_Chr13	P5W10	62.8247622387054
cneoH99_Chr14	P5W10	62.9854921795011
cneoH99_Chr01	P6W10	62.3199594588389
cneoH99_Chr02	P6W10	70.0477085997514
cneoH99_Chr03	P6W10	59.7592424939644
cneoH99_Chr04	P6W10	74.5116069425926
cneoH99_Chr05	P6W10	60.9857828863536
cneoH99_Chr06	P6W10	88.9178329851019
cneoH99_Chr07	P6W10	61.2154167182273
cneoH99_Chr08	P6W10	59.0643947678136
cneoH99_Chr09	P6W10	97.1543090285232
cneoH99_Chr10	P6W10	58.1749199603399
cneoH99_Chr11	P6W10	61.4426101581142
cneoH99_Chr12	P6W10	59.430563876593
cneoH99_Chr13	P6W10	57.8075261540291
cneoH99_Chr14	P6W10	57.2206124498915
cneoH99_Chr01	SSD719_vitro	37.5080927687773
cneoH99_Chr02	SSD719_vitro	48.6410347910503
cneoH99_Chr03	SSD719_vitro	45.7158757350699
cneoH99_Chr04	SSD719_vitro	37.7696870603145
cneoH99_Chr05	SSD719_vitro	36.307550700663
cneoH99_Chr06	SSD719_vitro	37.2341379508439
cneoH99_Chr07	SSD719_vitro	37.2938891654039
cneoH99_Chr08	SSD719_vitro	36.4911881797559
cneoH99_Chr09	SSD719_vitro	36.768746493924
cneoH99_Chr10	SSD719_vitro	35.8616510907547
cneoH99_Chr11	SSD719_vitro	47.5870601694231
cneoH99_Chr12	SSD719_vitro	35.1433072671001
cneoH99_Chr13	SSD719_vitro	35.4677472965654
cneoH99_Chr14	SSD719_vitro	35.7071375975054
cneoH99_Chr01	SSD719_vivo	113.102740544677
cneoH99_Chr02	SSD719_vivo	129.489528940286
cneoH99_Chr03	SSD719_vivo	110.238819933714
cneoH99_Chr04	SSD719_vivo	136.661631190287
cneoH99_Chr05	SSD719_vivo	111.579543055157
cneoH99_Chr06	SSD719_vivo	162.343896078004
cneoH99_Chr07	SSD719_vivo	111.734479909936
cneoH99_Chr08	SSD719_vivo	109.163752917192
cneoH99_Chr09	SSD719_vivo	175.11727099443
cneoH99_Chr10	SSD719_vivo	105.622311041226
cneoH99_Chr11	SSD719_vivo	114.429608548143
cneoH99_Chr12	SSD719_vivo	109.728502826943
cneoH99_Chr13	SSD719_vivo	105.604970910304
cneoH99_Chr14	SSD719_vivo	106.103400984507
cneoH99_Chr01	YSB121	65.4936608102139
cneoH99_Chr02	YSB121	65.5801496214286
cneoH99_Chr03	YSB121	65.4944619103492
cneoH99_Chr04	YSB121	65.87363393358
cneoH99_Chr05	YSB121	62.1008381120442
cneoH99_Chr06	YSB121	65.2611805353479
cneoH99_Chr07	YSB121	66.385434564832
cneoH99_Chr08	YSB121	65.3061586784229
cneoH99_Chr09	YSB121	65.7344283333333
cneoH99_Chr10	YSB121	65.5600942946226
cneoH99_Chr11	YSB121	65.8720471175
cneoH99_Chr12	YSB121	65.9430109979248
cneoH99_Chr13	YSB121	65.609050809247
cneoH99_Chr14	YSB121	64.8336630865011
